experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
H_Hydrogen_benchmark,f32,0,1000,95.7,95.7,95.7,0,0,Z=1 | H (Hydrogen) | 1.008 u | nonmetal | 1s¹,nonmetal,H,Hydrogen,1s¹,1.008
Nb_Niobium_benchmark,f32,16,5000,3230.2364,3230.2364,3230.2364,0,312500,Z=41 | Nb (Niobium) | 92.90637 u | transition metal | [Kr] 4d⁴ 5s¹,transition metal,Nb,Niobium,[Kr] 4d⁴ 5s¹,92.90637
Mo_Molybdenum_benchmark,f64,33,10000,3338.4726,3338.4726,3338.4726,0,303030.30303030304,Z=42 | Mo (Molybdenum) | 95.95 u | transition metal | [Kr] 4d⁵ 5s¹,transition metal,Mo,Molybdenum,[Kr] 4d⁵ 5s¹,95.95
Tc_Technetium_benchmark,f32,3,1000,3412.721,3412.721,3412.721,0,333333.3333333333,Z=43 | Tc (Technetium) | 97.907216 u | transition metal | [Kr] 4d⁵ 5s²,transition metal,Tc,Technetium,[Kr] 4d⁵ 5s²,97.907216
Ru_Ruthenium_benchmark,f64,17,5000,3504.2946,3504.2946,3504.2946,0,294117.64705882355,Z=44 | Ru (Ruthenium) | 101.07 u | transition metal | [Kr] 4d⁷ 5s¹,transition metal,Ru,Ruthenium,[Kr] 4d⁷ 5s¹,101.07
Rh_Rhodium_benchmark,f32,35,10000,3583.8876,3583.8876,3583.8876,0,285714.28571428574,Z=45 | Rh (Rhodium) | 102.9055 u | transition metal | [Kr] 4d⁸ 5s¹,transition metal,Rh,Rhodium,[Kr] 4d⁸ 5s¹,102.9055
Pd_Palladium_benchmark,f64,3,1000,3616.911,3616.911,3616.911,0,333333.3333333333,Z=46 | Pd (Palladium) | 106.42 u | transition metal | [Kr] 4d¹⁰,transition metal,Pd,Palladium,[Kr] 4d¹⁰,106.42
Ag_Silver_benchmark,f32,18,5000,3690.3366,3690.3366,3690.3366,0,277777.77777777775,Z=47 | Ag (Silver) | 107.8682 u | transition metal | [Kr] 4d¹⁰ 5s¹,transition metal,Ag,Silver,[Kr] 4d¹⁰ 5s¹,107.8682
Cd_Cadmium_benchmark,f64,37,10000,3763.2057,3763.2057,3763.2057,0,270270.2702702703,Z=48 | Cd (Cadmium) | 112.414 u | transition metal | [Kr] 4d¹⁰ 5s²,transition metal,Cd,Cadmium,[Kr] 4d¹⁰ 5s²,112.414
In_Indium_benchmark,f32,3,1000,3738.75,3738.75,3738.75,0,333333.3333333333,Z=49 | In (Indium) | 114.818 u | post-transition metal | [Kr] 4d¹⁰ 5s² 5p¹,post-transition metal,In,Indium,[Kr] 4d¹⁰ 5s² 5p¹,114.818
Sn_Tin_benchmark,f64,19,5000,3923.6908,3923.6908,3923.6908,0,263157.8947368421,Z=50 | Sn (Tin) | 118.71 u | post-transition metal | [Kr] 4d¹⁰ 5s² 5p²,post-transition metal,Sn,Tin,[Kr] 4d¹⁰ 5s² 5p²,118.71
Sb_Antimony_benchmark,f32,39,10000,3969.1077,3969.1077,3969.1077,0,256410.2564102564,Z=51 | Sb (Antimony) | 121.76 u | metalloid | [Kr] 4d¹⁰ 5s² 5p³,metalloid,Sb,Antimony,[Kr] 4d¹⁰ 5s² 5p³,121.76
Te_Tellurium_benchmark,f64,4,1000,4146.631,4146.631,4146.631,0,250000,Z=52 | Te (Tellurium) | 127.6 u | metalloid | [Kr] 4d¹⁰ 5s² 5p⁴,metalloid,Te,Tellurium,[Kr] 4d¹⁰ 5s² 5p⁴,127.6
I_Iodine_benchmark,f32,21,5000,4227.5886,4227.5886,4227.5886,0,238095.2380952381,Z=53 | I (Iodine) | 126.90447 u | halogen | [Kr] 4d¹⁰ 5s² 5p⁵,halogen,I,Iodine,[Kr] 4d¹⁰ 5s² 5p⁵,126.90447
Xe_Xenon_benchmark,f64,42,10000,4253.6448,4253.6448,4253.6448,0,238095.2380952381,Z=54 | Xe (Xenon) | 131.293 u | noble gas | [Kr] 4d¹⁰ 5s² 5p⁶,noble gas,Xe,Xenon,[Kr] 4d¹⁰ 5s² 5p⁶,131.293
Cs_Cesium_benchmark,f32,4,1000,4203.19,4203.19,4203.19,0,250000,Z=55 | Cs (Cesium) | 132.90545196 u | alkali metal | [Xe] 6s¹,alkali metal,Cs,Cesium,[Xe] 6s¹,132.90545196
Ba_Barium_benchmark,f64,23,5000,4674.1188,4674.1188,4674.1188,0,217391.30434782608,Z=56 | Ba (Barium) | 137.327 u | alkaline earth metal | [Xe] 6s²,alkaline earth metal,Ba,Barium,[Xe] 6s²,137.327
La_Lanthanum_benchmark,f32,45,10000,4510.3657,4510.3657,4510.3657,0,222222.22222222222,Z=57 | La (Lanthanum) | 138.90547 u | lanthanide | [Xe] 5d¹ 6s²,lanthanide,La,Lanthanum,[Xe] 5d¹ 6s²,138.90547
Ce_Cerium_benchmark,f64,4,1000,4563.78,4563.78,4563.78,0,250000,Z=58 | Ce (Cerium) | 140.116 u | lanthanide | [Xe] 4f¹ 5d¹ 6s²,lanthanide,Ce,Cerium,[Xe] 4f¹ 5d¹ 6s²,140.116
Pr_Praseodymium_benchmark,f32,23,5000,4661.1728,4661.1728,4661.1728,0,217391.30434782608,Z=59 | Pr (Praseodymium) | 140.90766 u | lanthanide | [Xe] 4f³ 6s²,lanthanide,Pr,Praseodymium,[Xe] 4f³ 6s²,140.90766
Nd_Neodymium_benchmark,f64,48,10000,4894.7338,4894.7338,4894.7338,0,208333.33333333334,Z=60 | Nd (Neodymium) | 144.242 u | lanthanide | [Xe] 4f⁴ 6s²,lanthanide,Nd,Neodymium,[Xe] 4f⁴ 6s²,144.242
Pm_Promethium_benchmark,f32,4,1000,4768.081,4768.081,4768.081,0,250000,Z=61 | Pm (Promethium) | 144.912749 u | lanthanide | [Xe] 4f⁵ 6s²,lanthanide,Pm,Promethium,[Xe] 4f⁵ 6s²,144.912749
Sm_Samarium_benchmark,f64,27,5000,5493.317,5493.317,5493.317,0,185185.1851851852,Z=62 | Sm (Samarium) | 150.36 u | lanthanide | [Xe] 4f⁶ 6s²,lanthanide,Sm,Samarium,[Xe] 4f⁶ 6s²,150.36
Eu_Europium_benchmark,f32,51,10000,5127.6159,5127.6159,5127.6159,0,196078.431372549,Z=63 | Eu (Europium) | 151.964 u | lanthanide | [Xe] 4f⁷ 6s²,lanthanide,Eu,Europium,[Xe] 4f⁷ 6s²,151.964
Gd_Gadolinium_benchmark,f64,4,1000,4909.901,4909.901,4909.901,0,250000,Z=64 | Gd (Gadolinium) | 157.25 u | lanthanide | [Xe] 4f⁷ 5d¹ 6s²,lanthanide,Gd,Gadolinium,[Xe] 4f⁷ 5d¹ 6s²,157.25
Tb_Terbium_benchmark,f32,25,5000,5044.6928,5044.6928,5044.6928,0,200000,Z=65 | Tb (Terbium) | 158.92535 u | lanthanide | [Xe] 4f⁹ 6s²,lanthanide,Tb,Terbium,[Xe] 4f⁹ 6s²,158.92535
Dy_Dysprosium_benchmark,f64,56,10000,5624.031,5624.031,5624.031,0,178571.42857142858,Z=66 | Dy (Dysprosium) | 162.5 u | lanthanide | [Xe] 4f¹⁰ 6s²,lanthanide,Dy,Dysprosium,[Xe] 4f¹⁰ 6s²,162.5
Ho_Holmium_benchmark,f32,5,1000,5394.091,5394.091,5394.091,0,200000,Z=67 | Ho (Holmium) | 164.93033 u | lanthanide | [Xe] 4f¹¹ 6s²,lanthanide,Ho,Holmium,[Xe] 4f¹¹ 6s²,164.93033
Er_Erbium_benchmark,f64,27,5000,5426.327,5426.327,5426.327,0,185185.1851851852,Z=68 | Er (Erbium) | 167.259 u | lanthanide | [Xe] 4f¹² 6s²,lanthanide,Er,Erbium,[Xe] 4f¹² 6s²,167.259
Tm_Thulium_benchmark,f32,53,10000,5381.3329,5381.3329,5381.3329,0,188679.24528301886,Z=69 | Tm (Thulium) | 168.93422 u | lanthanide | [Xe] 4f¹³ 6s²,lanthanide,Tm,Thulium,[Xe] 4f¹³ 6s²,168.93422
Yb_Ytterbium_benchmark,f64,5,1000,5344.401,5344.401,5344.401,0,200000,Z=70 | Yb (Ytterbium) | 173.045 u | lanthanide | [Xe] 4f¹⁴ 6s²,lanthanide,Yb,Ytterbium,[Xe] 4f¹⁴ 6s²,173.045
Lu_Lutetium_benchmark,f32,27,5000,5551.339,5551.339,5551.339,0,185185.1851851852,Z=71 | Lu (Lutetium) | 174.9668 u | lanthanide | [Xe] 4f¹⁴ 5d¹ 6s²,lanthanide,Lu,Lutetium,[Xe] 4f¹⁴ 5d¹ 6s²,174.9668
Hf_Hafnium_benchmark,f64,58,10000,5876.181,5876.181,5876.181,0,172413.7931034483,Z=72 | Hf (Hafnium) | 178.49 u | transition metal | [Xe] 4f¹⁴ 5d² 6s²,transition metal,Hf,Hafnium,[Xe] 4f¹⁴ 5d² 6s²,178.49
Ta_Tantalum_benchmark,f32,5,1000,5761.571,5761.571,5761.571,0,200000,Z=73 | Ta (Tantalum) | 180.94788 u | transition metal | [Xe] 4f¹⁴ 5d³ 6s²,transition metal,Ta,Tantalum,[Xe] 4f¹⁴ 5d³ 6s²,180.94788
W_Tungsten_benchmark,f64,29,5000,5828.793,5828.793,5828.793,0,172413.7931034483,Z=74 | W (Tungsten) | 183.84 u | transition metal | [Xe] 4f¹⁴ 5d⁴ 6s²,transition metal,W,Tungsten,[Xe] 4f¹⁴ 5d⁴ 6s²,183.84
Re_Rhenium_benchmark,f32,59,10000,5931.5361,5931.5361,5931.5361,0,169491.5254237288,Z=75 | Re (Rhenium) | 186.207 u | transition metal | [Xe] 4f¹⁴ 5d⁵ 6s²,transition metal,Re,Rhenium,[Xe] 4f¹⁴ 5d⁵ 6s²,186.207
Os_Osmium_benchmark,f64,6,1000,6005.121,6005.121,6005.121,0,166666.66666666666,Z=76 | Os (Osmium) | 190.23 u | transition metal | [Xe] 4f¹⁴ 5d⁶ 6s²,transition metal,Os,Osmium,[Xe] 4f¹⁴ 5d⁶ 6s²,190.23
Ir_Iridium_benchmark,f32,30,5000,6176.863,6176.863,6176.863,0,166666.66666666666,Z=77 | Ir (Iridium) | 192.217 u | transition metal | [Xe] 4f¹⁴ 5d⁷ 6s²,transition metal,Ir,Iridium,[Xe] 4f¹⁴ 5d⁷ 6s²,192.217
Pt_Platinum_benchmark,f64,61,10000,6110.8491,6110.8491,6110.8491,0,163934.4262295082,Z=78 | Pt (Platinum) | 195.084 u | transition metal | [Xe] 4f¹⁴ 5d⁹ 6s¹,transition metal,Pt,Platinum,[Xe] 4f¹⁴ 5d⁹ 6s¹,195.084
Au_Gold_benchmark,f32,6,1000,6071.551,6071.551,6071.551,0,166666.66666666666,Z=79 | Au (Gold) | 196.966569 u | transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s¹,transition metal,Au,Gold,[Xe] 4f¹⁴ 5d¹⁰ 6s¹,196.966569
Hg_Mercury_benchmark,f64,31,5000,6237.343,6237.343,6237.343,0,161290.32258064515,Z=80 | Hg (Mercury) | 200.592 u | transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s²,transition metal,Hg,Mercury,[Xe] 4f¹⁴ 5d¹⁰ 6s²,200.592
Tl_Thallium_benchmark,f32,66,10000,6636.8031,6636.8031,6636.8031,0,151515.15151515152,Z=81 | Tl (Thallium) | 204.38 u | post-transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p¹,post-transition metal,Tl,Thallium,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p¹,204.38
Pb_Lead_benchmark,f64,6,1000,6287.121,6287.121,6287.121,0,166666.66666666666,Z=82 | Pb (Lead) | 207.2 u | post-transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p²,post-transition metal,Pb,Lead,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p²,207.2
Bi_Bismuth_benchmark,f32,33,5000,6630.2712,6630.2712,6630.2712,0,151515.15151515152,Z=83 | Bi (Bismuth) | 208.9804 u | post-transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p³,post-transition metal,Bi,Bismuth,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p³,208.9804
Po_Polonium_benchmark,f64,65,10000,6550.2712,6550.2712,6550.2712,0,153846.15384615384,Z=84 | Po (Polonium) | 208.98243 u | post-transition metal | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁴,post-transition metal,Po,Polonium,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁴,208.98243
At_Astatine_benchmark,f32,6,1000,6666.441,6666.441,6666.441,0,166666.66666666666,Z=85 | At (Astatine) | 210 u | halogen | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁵,halogen,At,Astatine,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁵,210
Rn_Radon_benchmark,f64,33,5000,6607.8972,6607.8972,6607.8972,0,151515.15151515152,Z=86 | Rn (Radon) | 222 u | noble gas | [Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁶,noble gas,Rn,Radon,[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁶,222
Fr_Francium_benchmark,f32,67,10000,6706.9441,6706.9441,6706.9441,0,149253.73134328358,Z=87 | Fr (Francium) | 223 u | alkali metal | [Rn] 7s¹,alkali metal,Fr,Francium,[Rn] 7s¹,223
Ra_Radium_benchmark,f64,6,1000,6715.182,6715.182,6715.182,0,166666.66666666666,Z=88 | Ra (Radium) | 226 u | alkaline earth metal | [Rn] 7s²,alkaline earth metal,Ra,Radium,[Rn] 7s²,226
Ac_Actinium_benchmark,f32,34,5000,6847.0692,6847.0692,6847.0692,0,147058.82352941178,Z=89 | Ac (Actinium) | 227.027752 u | actinide | [Rn] 6d¹ 7s²,actinide,Ac,Actinium,[Rn] 6d¹ 7s²,227.027752
Th_Thorium_benchmark,f64,72,10000,7229.1052,7229.1052,7229.1052,0,138888.88888888888,Z=90 | Th (Thorium) | 232.0377 u | actinide | [Rn] 6d² 7s²,actinide,Th,Thorium,[Rn] 6d² 7s²,232.0377
Pa_Protactinium_benchmark,f32,7,1000,7288.521,7288.521,7288.521,0,142857.14285714287,Z=91 | Pa (Protactinium) | 231.03588 u | actinide | [Rn] 5f² 6d¹ 7s²,actinide,Pa,Protactinium,[Rn] 5f² 6d¹ 7s²,231.03588
U_Uranium_benchmark,f64,35,5000,7130.2692,7130.2692,7130.2692,0,142857.14285714287,Z=92 | U (Uranium) | 238.02891 u | actinide | [Rn] 5f³ 6d¹ 7s²,actinide,U,Uranium,[Rn] 5f³ 6d¹ 7s²,238.02891
Np_Neptunium_benchmark,f32,71,10000,7185.7732,7185.7732,7185.7732,0,140845.0704225352,Z=93 | Np (Neptunium) | 237.048174 u | actinide | [Rn] 5f⁴ 6d¹ 7s²,actinide,Np,Neptunium,[Rn] 5f⁴ 6d¹ 7s²,237.048174
Pu_Plutonium_benchmark,f64,7,1000,7347.302,7347.302,7347.302,0,142857.14285714287,Z=94 | Pu (Plutonium) | 244.064204 u | actinide | [Rn] 5f⁶ 7s²,actinide,Pu,Plutonium,[Rn] 5f⁶ 7s²,244.064204
Am_Americium_benchmark,f32,36,5000,7340.2292,7340.2292,7340.2292,0,138888.88888888888,Z=95 | Am (Americium) | 243.061381 u | actinide | [Rn] 5f⁷ 7s²,actinide,Am,Americium,[Rn] 5f⁷ 7s²,243.061381
Cm_Curium_benchmark,f64,76,10000,7677.8924,7677.8924,7677.8924,0,131578.94736842104,Z=96 | Cm (Curium) | 247.070354 u | actinide | [Rn] 5f⁷ 6d¹ 7s²,actinide,Cm,Curium,[Rn] 5f⁷ 6d¹ 7s²,247.070354
Bk_Berkelium_benchmark,f32,7,1000,7817.071,7817.071,7817.071,0,142857.14285714287,Z=97 | Bk (Berkelium) | 247.070307 u | actinide | [Rn] 5f⁹ 7s²,actinide,Bk,Berkelium,[Rn] 5f⁹ 7s²,247.070307
Cf_Californium_benchmark,f64,39,5000,7892.6094,7892.6094,7892.6094,0,128205.1282051282,Z=98 | Cf (Californium) | 251.079587 u | actinide | [Rn] 5f¹⁰ 7s²,actinide,Cf,Californium,[Rn] 5f¹⁰ 7s²,251.079587
Es_Einsteinium_benchmark,f32,78,10000,7817.0544,7817.0544,7817.0544,0,128205.1282051282,Z=99 | Es (Einsteinium) | 252.08298 u | actinide | [Rn] 5f¹¹ 7s²,actinide,Es,Einsteinium,[Rn] 5f¹¹ 7s²,252.08298
Fm_Fermium_benchmark,f64,8,1000,8230.761,8230.761,8230.761,0,125000,Z=100 | Fm (Fermium) | 257.095105 u | actinide | [Rn] 5f¹² 7s²,actinide,Fm,Fermium,[Rn] 5f¹² 7s²,257.095105
Md_Mendelevium_benchmark,f32,40,5000,8117.1394,8117.1394,8117.1394,0,125000,Z=101 | Md (Mendelevium) | 258.098431 u | actinide | [Rn] 5f¹³ 7s²,actinide,Md,Mendelevium,[Rn] 5f¹³ 7s²,258.098431
No_Nobelium_benchmark,f64,83,10000,8344.9215,8344.9215,8344.9215,0,120481.92771084337,Z=102 | No (Nobelium) | 259.10103 u | actinide | [Rn] 5f¹⁴ 7s²,actinide,No,Nobelium,[Rn] 5f¹⁴ 7s²,259.10103
Lr_Lawrencium_benchmark,f32,8,1000,8910.241,8910.241,8910.241,0,125000,Z=103 | Lr (Lawrencium) | 266.12 u | actinide | [Rn] 5f¹⁴ 7s² 7p¹,actinide,Lr,Lawrencium,[Rn] 5f¹⁴ 7s² 7p¹,266.12
Rf_Rutherfordium_benchmark,f64,41,5000,8290.0216,8290.0216,8290.0216,0,121951.21951219512,Z=104 | Rf (Rutherfordium) | 267.122 u | transition_metal | [Rn] 5f¹⁴ 6d² 7s²,transition_metal,Rf,Rutherfordium,[Rn] 5f¹⁴ 6d² 7s²,267.122
